name,speciality,hospital,city,img,slug,timestamp
"dr. Karliana Kartasa Taswir, Sp. M",Sp. Mata,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",https://d1ojs48v3n42tp.cloudfront.net/personnels/496138_19-5-2021_14-25-42.png,ophthalmologist,2025-06-15 09:10:54
Dr. Katharina W. Sp.M M.Kes,Sp. Mata,Netra Klinik Spesialis Mata I,"Bandung Wetan, Kota Bandung",,ophthalmologist,2025-06-15 09:10:54
"Dr. Kautsar Abiyoga,SpM",Sp. Mata,RS Mata Solo,"Laweyan, Kota Surakarta",,ophthalmologist,2025-06-15 09:10:54
"dr. Keisha Devita Primananda, SpM",Sp. Mata,Netra Klinik Spesialis Mata II,"Sumurbandung, Kota Bandung",,ophthalmologist,2025-06-15 09:10:54
"dr. Kevin Anggakusuma Hendrawan, Sp. M",Sp. Mata,RS Gotong Royong,"Sukolilo, Kota Surabaya",,ophthalmologist,2025-06-15 09:10:54
"dr. Laila Wahyuni, Sp.M",Sp. Mata,Klinik Utama Bethesda Medical Centre,"Garut Kota, Kabupaten Garut",,ophthalmologist,2025-06-15 09:10:54
"dr. Lenggo Geni Oetama, Sp.M",Sp. Mata,Siloam Hospitals ASRI,"Pancoran, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/772312_31-10-2022_14-22-23.png,ophthalmologist,2025-06-15 09:10:54
"dr. Lenora Sandra, Sp.M",Sp. Mata,Klinik Mata SMEC Depok,"Cilodong, Depok",,ophthalmologist,2025-06-15 09:10:54
"dr. Levandi Mulya, Sp.M",Sp. Mata,RS EMC Sentul,"Babakan Madang, Kabupaten Bogor",,ophthalmologist,2025-06-15 09:10:54
"dr. Levandi Mulya, Sp.M",Sp. Mata,RS EMC Sentul,"Babakan Madang, Kabupaten Bogor",,ophthalmologist,2025-06-15 09:10:54
"dr. Liliek Isyoto Yahmo, Sp.M",Sp. Mata,RS Mitra Keluarga Tegal,"Tegal Barat, Kota Tegal",https://d1ojs48v3n42tp.cloudfront.net/personnels/431527_14-12-2022_14-22-51.jpeg,ophthalmologist,2025-06-15 09:10:57
"dr. Lydia Nuradianti, Sp.M (K)",Sp. Mata,RS Mitra Keluarga Pondok Tjandra,"Waru, Kabupaten Sidoarjo",https://d1ojs48v3n42tp.cloudfront.net/personnels/655226_20-7-2022_16-3-5.png,ophthalmologist,2025-06-15 09:10:57
"dr. M. Dio Syaputra , Sp.M",Sp. Mata,RS Mitra Keluarga Kemayoran,"Kemayoran, Jakarta Pusat",https://d1ojs48v3n42tp.cloudfront.net/personnels/535971_10-7-2024_14-33-23.png,ophthalmologist,2025-06-15 09:10:57
dr. M. Dio Syaputra Sp.M.,Sp. Mata,RS Mitra Keluarga Kemayoran,"Kemayoran, Jakarta Pusat",,ophthalmologist,2025-06-15 09:10:57
Dr. M. Simarmata Sp.M,Sp. Mata,Klinik Utama Kuningan Eye Center,"Kuningan, Kabupaten Kuningan",,ophthalmologist,2025-06-15 09:10:57
dr. MAYA E. SUWANDONO SpM,Sp. Mata,Rumah Sakit Khusus Mata Nusantara,"Cilandak, Jakarta Selatan",,ophthalmologist,2025-06-15 09:10:57
dr. MAYA E. SUWANDONO,Sp. Mata,Mata Nusantara (KMN Eyecare) Kemayoran,"Kemayoran, Jakarta Pusat",,ophthalmologist,2025-06-15 09:10:57
dr. MAYA E. SUWANDONO SP. M,Sp. Mata,Rumah Sakit Khusus Mata Nusantara,"Cilandak, Jakarta Selatan",,ophthalmologist,2025-06-15 09:10:57
dr. Madona Debora SpM,Sp. Mata,Siloam Hospitals Jambi,"Jambi Selatan, Kota Jambi",,ophthalmologist,2025-06-15 09:10:57
"dr. Magdalena Siska Trisanti, Sp.M",Sp. Mata,Siloam Hospitals Sriwijaya Palembang,"Ilir Barat I, Kota Palembang",https://d1ojs48v3n42tp.cloudfront.net/personnels/51191_22-12-2022_14-33-46.png,ophthalmologist,2025-06-15 09:10:57
"dr. Mareta Gustia Ningsih, Sp.M",Sp. Mata,RS Mulia Pajajaran,"Bogor Utara, Bogor",,ophthalmologist,2025-06-15 09:11:01
"dr. Marhaeni Pusposetyaningrum, Sp.M",Sp. Mata,RS Mitra Keluarga Kalideres,"Kalideres, Jakarta Barat",https://d1ojs48v3n42tp.cloudfront.net/personnels/363011_14-12-2022_16-22-35.png,ophthalmologist,2025-06-15 09:11:01
"dr. Maria Larasati, Sp.M",Sp. Mata,Mayapada Hospital Tangerang,"Tangerang, Tangerang",https://d1ojs48v3n42tp.cloudfront.net/personnels/301212_13-12-2022_14-3-1.jpeg,ophthalmologist,2025-06-15 09:11:01
"dr. Mario Ricardo Papilaya, Sp.M",Sp. Mata,Siloam Hospitals ASRI,"Pancoran, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/222717_24-6-2022_18-9-49.jpeg,ophthalmologist,2025-06-15 09:11:01
"dr. Marjasa Dharmawan Dicky Newton, Sp.M",Sp. Mata,Siloam Hospitals Lippo Cikarang,"Cikarang Selatan, Kabupaten Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/152759_23-6-2022_15-29-6.jpeg,ophthalmologist,2025-06-15 09:11:01
"dr. Melissa Marselina, Sp.M",Sp. Mata,Klinik Utama Bandung Eye Center,"Sumurbandung, Kota Bandung",,ophthalmologist,2025-06-15 09:11:01
